1	China	1,439,323,776	0.39 %	5,540,090	153	9,388,211	-348,399	1.7	38	61 %	18.47 %
2	India	1,380,004,385	0.99 %	13,586,631	464	2,973,190	-532,687	2.2	28	35 %	17.70 %
3	United States	331,002,651	0.59 %	1,937,734	36	9,147,420	954,806	1.8	38	83 %	4.25 %
4	Indonesia	273,523,615	1.07 %	2,898,047	151	1,811,570	-98,955	2.3	30	56 %	3.51 %
5	Pakistan	220,892,340	2.00 %	4,327,022	287	770,880	-233,379	3.6	23	35 %	2.83 %
6	Brazil	212,559,417	0.72 %	1,509,890	25	8,358,140	21,200	1.7	33	88 %	2.73 %
7	Nigeria	206,139,589	2.58 %	5,175,990	226	910,770	-60,000	5.4	18	52 %	2.64 %
8	Bangladesh	164,689,383	1.01 %	1,643,222	1,265	130,170	-369,501	2.1	28	39 %	2.11 %
9	Russia	145,934,462	0.04 %	62,206	9	16,376,870	182,456	1.8	40	74 %	1.87 %
10	Mexico	128,932,753	1.06 %	1,357,224	66	1,943,950	-60,000	2.1	29	84 %	1.65 %
11	Japan	126,476,461	-0.30 %	-383,840	347	364,555	71,560	1.4	48	92 %	1.62 %
12	Ethiopia	114,963,588	2.57 %	2,884,858	115	1,000,000	30,000	4.3	19	21 %	1.47 %
13	Philippines	109,581,078	1.35 %	1,464,463	368	298,170	-67,152	2.6	26	47 %	1.41 %
14	Egypt	102,334,404	1.94 %	1,946,331	103	995,450	-38,033	3.3	25	43 %	1.31 %
15	Vietnam	97,338,579	0.91 %	876,473	314	310,070	-80,000	2.1	32	38 %	1.25 %
16	DR Congo	89,561,403	3.19 %	2,770,836	40	2,267,050	23,861	6.0	17	46 %	1.15 %
17	Turkey	84,339,067	1.09 %	909,452	110	769,630	283,922	2.1	32	76 %	1.08 %
18	Iran	83,992,949	1.30 %	1,079,043	52	1,628,550	-55,000	2.2	32	76 %	1.08 %
19	Germany	83,783,942	0.32 %	266,897	240	348,560	543,822	1.6	46	76 %	1.07 %
20	Thailand	69,799,978	0.25 %	174,396	137	510,890	19,444	1.5	40	51 %	0.90 %
21	United Kingdom	67,886,011	0.53 %	355,839	281	241,930	260,650	1.8	40	83 %	0.87 %
22	France	65,273,511	0.22 %	143,783	119	547,557	36,527	1.9	42	82 %	0.84 %
23	Italy	60,461,826	-0.15 %	-88,249	206	294,140	148,943	1.3	47	69 %	0.78 %
24	Tanzania	59,734,218	2.98 %	1,728,755	67	885,800	-40,076	4.9	18	37 %	0.77 %
25	South Africa	59,308,690	1.28 %	750,420	49	1,213,090	145,405	2.4	28	67 %	0.76 %
26	Myanmar	54,409,800	0.67 %	364,380	83	653,290	-163,313	2.2	29	31 %	0.70 %
27	Kenya	53,771,296	2.28 %	1,197,323	94	569,140	-10,000	3.5	20	28 %	0.69 %
28	South Korea	51,269,185	0.09 %	43,877	527	97,230	11,731	1.1	44	82 %	0.66 %
